Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
MAR,Marriott International Inc,156.69,2.29029,$50.85B,0.76584,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
ADM,Archer-Daniels-Midland Co,89.56,3.37026,$50.20B,1.78651,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
VMW,VMware Inc,118.71,1.81552,$50.16B,,United States of America,Information Technology,Software,Yes (Option Chain)
EMR,Emerson Electric Co.,84.66,2.82999,$50.06B,2.43326,United States of America,Industrials,Electrical Equipment,Yes (Option Chain)
TRP,TC Energy Corp,50.42,1.80249,$49.59B,5.52441,Canada,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
NGG,National Grid plc,67.56,0.39552,$49.45B,4.81083,United Kingdom,Utilities,Multi-Utilities,Yes (Option Chain)
CDNS,Cadence Design Systems Inc,177.83,1.61935,$48.70B,,United States of America,Information Technology,Software,Yes (Option Chain)
VLO,Valero Energy Corp,121.88,5.22114,$48.02B,3.21628,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
ABEV,Ambev SA,3.03,32.38639,$47.70B,4.02465,Brazil,Consumer Staples,Beverages,Yes (Option Chain)
DVN,Devon Energy Corp,72.77,12.27446,$47.65B,6.40374,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
ECL,Ecolab Inc.,165.26,1.16277,$47.10B,1.23442,United States of America,Materials,Chemicals,Yes (Option Chain)
MNST,Monster Beverage Corp,89.15,2.93973,$46.97B,,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
HSY,Hershey Co (The),228.67,1.04199,$46.87B,1.81222,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
SU,Suncor Energy Inc.,34.31,7.52694,$46.82B,4.23959,Canada,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
KHC,The Kraft Heinz Co,38.11,8.08983,$46.70B,4.19837,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
WDS,Woodside Energy Group Ltd,24.57,,$46.65B,5.98291,Australia,Energy,"Oil, Gas & Consumable Fuels",No
PAYX,Paychex Inc.,128.8,1.72468,$46.36B,2.45342,United States of America,Information Technology,IT Services,Yes (Option Chain)
FCX,Freeport-McMoRan Inc,32.19,20.09459,$46.01B,1.86393,United States of America,Materials,Metals & Mining,Yes (Option Chain)
NGLOY,Anglo American PLC,17.16,0.38568,$45.91B,12.0338,United Kingdom,Materials,Metals & Mining,No
RSG,Republic Services Inc.,144.68,1.17509,$45.71B,1.36854,United States of America,Industrials,Commercial Services & Supplies,Yes (Option Chain)
GIS,General Mills Inc.,76.32,3.65021,$45.46B,2.83019,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
BCE,BCE Inc.,49.59,1.35603,$45.22B,5.74169,Canada,Communication Services,Diversified Telecommunication Services,Yes (Option Chain)
CMG,Chipotle Mexican Grill Inc,1627.86,0.26105,$45.20B,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
CRWD,CrowdStrike Holdings Inc,194.56,3.95615,$45.15B,,United States of America,Information Technology,Software,Yes (Option Chain)
ADSK,AUTODESK INC,207.77,1.69811,$45.14B,,United States of America,Information Technology,Software,Yes (Option Chain)
HMC,Honda Motor Co Ltd,26.34,1.23585,$45.06B,3.74958,Japan,Consumer Discretionary,Automobiles,Yes (Option Chain)
CM,Canadian Imperial Bank of Commerce,49.76,0.83842,$44.95B,5.16231,Canada,Financials,Banks,Yes (Option Chain)
APH,Amphenol Corp,75.47,2.15627,$44.89B,1.06002,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
LHX,L3Harris Technologies Inc,234.06,0.97876,$44.79B,1.91404,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
CTVA,Corteva Inc,62.32,4.00914,$44.78B,0.96277,United States of America,Materials,Chemicals,Yes (Option Chain)
EXC,Exelon Corp,44.71,6.32249,$44.42B,3.01946,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
KKR,KKR & Co Inc,51.63,3.24688,$44.39B,1.20085,United States of America,Financials,Capital Markets,Yes (Option Chain)
PSX,Phillips 66,92.18,3.88028,$44.34B,4.20916,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
ORLY,O'Reilly Automotive Inc,698.79,0.57462,$44.25B,,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
MELI,MercadoLibre Inc,877.8,0.66952,$44.19B,,Uruguay,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
NXPI,NXP Semiconductors NV,168.12,2.83038,$44.15B,2.01047,Netherlands,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
RHHBF,Roche Holding AG,410.5,0.00006,$43.80B,2.41785,Switzerland,Health Care,Pharmaceuticals,No
KMB,Kimberly-Clark Corp,129.52,1.70217,$43.73B,3.58246,United States of America,Consumer Staples,Household Products,Yes (Option Chain)
ROP,Roper Technologies Inc,409.83,0.59799,$43.45B,0.60513,United States of America,Information Technology,Software,Yes (Option Chain)
TAK,Takeda Pharmaceutical Co Ltd,13.71,2.50054,$43.39B,8.26832,Japan,Health Care,Pharmaceuticals,Yes (Option Chain)
O,Realty Income Corp.,69.91,3.76275,$43.17B,4.24832,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
E,Eni SpA,24.48,0.58139,$43.12B,7.39649,Italy,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
KMI,Kinder Morgan Inc.,18.99,16.19224,$42.98B,5.84518,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
STLA,Stellantis NV,13.61,5.36047,$42.79B,8.24355,Netherlands,Consumer Discretionary,Automobiles,Yes (Option Chain)
WMB,Williams Cos Inc. (The),35.03,8.16395,$42.69B,4.85298,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
MRVL,Marvell Technology Inc,50.17,10.03448,$42.64B,0.47837,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
WDAY,Workday Inc,166.46,3.07397,$42.61B,,United States of America,Information Technology,Software,Yes (Option Chain)
SYY,Sysco Corporation,83.63,2.33071,$42.54B,2.34366,United States of America,Consumer Staples,Food & Staples Retailing,Yes (Option Chain)
CTAS,Cintas Corp,420.02,0.46666,$42.50B,1.09519,United States of America,Industrials,Commercial Services & Supplies,Yes (Option Chain)
AZO,AutoZone Inc,2163.02,0.17576,$42.15B,,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
COF,Capital One Financial Corp.,109.82,2.64007,$42.15B,2.18539,United States of America,Financials,Consumer Finance,Yes (Option Chain)
LNG,Cheniere Energy Inc.,167.76,2.27879,$41.90B,0.78684,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
FSUGY,Fortescue Metals Group Ltd,27.13,,$41.74B,24.16357,Australia,Materials,Metals & Mining,No
SMFG,Sumitomo Mitsui Financial Group Inc,6.07,2.81327,$41.62B,5.58494,Japan,Financials,Banks,Yes (Option Chain)
MSI,Motorola Solutions Inc,248.32,0.81089,$41.44B,1.27255,United States of America,Information Technology,Communications Equipment,Yes (Option Chain)
SPGZ,Spectrum Group International Inc,14000.0,,$41.05B,,United States of America,Consumer Discretionary,Diversified Consumer Services,No
XEL,Xcel Energy Inc.,74.93,3.08397,$40.99B,2.60243,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
IQV,Iqvia Holdings Inc,219.67,1.05558,$40.97B,,United States of America,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
SHOP,Shopify Inc,32.42,39.81359,$40.94B,,Canada,Information Technology,IT Services,Yes (Option Chain)
SQ,Block Inc,68.87,17.36862,$40.65B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
TEL,TE Connectivity Ltd,126.77,1.47996,$40.55B,1.76698,Switzerland,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
AIG,American International Group Inc,53.0,4.96286,$40.30B,2.41509,United States of America,Financials,Insurance,Yes (Option Chain)
STZ,Constellation Brands Inc,251.9,1.03637,$40.14B,1.27035,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
SAN,Banco Santander SA,2.37,6.73245,$39.79B,4.64996,Spain,Financials,Banks,Yes (Option Chain)
LULU,Lululemon Athletica Inc,311.31,1.3073,$39.74B,,Canada,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Yes (Option Chain)
SCCO,Southern Copper Corp,51.37,1.49141,$39.71B,5.83998,United States of America,Materials,Metals & Mining,Yes (Option Chain)
TRV,Travelers Companies Inc (The),166.84,1.25825,$39.59B,2.22968,United States of America,Financials,Insurance,Yes (Option Chain)
AJG,Arthur J. Gallagher & Co.,187.7,0.87544,$39.48B,1.08684,United States of America,Financials,Insurance,Yes (Option Chain)
DOW,Dow Inc,54.46,5.88959,$39.11B,5.14139,United States of America,Materials,Chemicals,Yes (Option Chain)
ENPH,Enphase Energy Inc,288.59,3.0587,$39.09B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
FTNT,Fortinet Inc,49.57,6.23211,$39.09B,,United States of America,Information Technology,Software,Yes (Option Chain)
HES,Hess Corp,124.6,2.16621,$38.58B,1.20385,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
AMX,"America Movil SA De CV, Mexico",18.03,2.18789,$38.50B,3.53752,Mexico,Communication Services,Wireless Telecommunication Services,Yes (Option Chain)
AFL,AFLAC Inc,60.87,2.60494,$38.46B,2.62855,United States of America,Financials,Insurance,Yes (Option Chain)
A,Agilent Technologies Inc,129.87,1.71132,$38.44B,0.6468,United States of America,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
CVE,Cenovus Energy Inc,19.3,10.4984,$38.06B,1.68375,Canada,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
VOD,Vodafone Group Public Limited Company,13.54,5.79208,$37.66B,7.22355,United Kingdom,Communication Services,Wireless Telecommunication Services,Yes (Option Chain)
JCI,Johnson Controls International Plc,54.61,4.53765,$37.62B,2.56363,Ireland,Industrials,Building Products,Yes (Option Chain)
TEAM,Atlassian Corp Plc,257.05,2.03563,$37.53B,,Australia,Information Technology,Software,Yes (Option Chain)
ET,Energy Transfer LP,12.14,20.99019,$37.48B,7.57825,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
ANET,Arista Networks Inc,123.03,1.97752,$37.44B,,United States of America,Information Technology,Communications Equipment,Yes (Option Chain)
BASFY,BASF SE,10.17,0.49321,$37.36B,8.78835,Germany,Materials,Chemicals,No
PBR/A,Petroleo Brasileiro S.A.- Petrobras,13.18,14.77528,$36.92B,47.77558,Brazil,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
NUE,Nucor Corp,140.51,2.58496,$36.78B,1.42339,United States of America,Materials,Metals & Mining,Yes (Option Chain)
EA,Electronic Arts Inc,132.17,2.4525,$36.75B,0.57502,United States of America,Communication Services,Entertainment,Yes (Option Chain)
MSCI,MSCI Inc,456.42,0.50327,$36.74B,1.09548,United States of America,Financials,Capital Markets,Yes (Option Chain)
PRU,Prudential Financial Inc,98.52,1.84032,$36.65B,4.87211,United States of America,Financials,Insurance,Yes (Option Chain)
MCHP,Microchip Technology Inc,65.96,4.8453,$36.44B,1.82535,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
RACE,Ferrari NV,197.79,0.42449,$36.17B,0.74287,Italy,Consumer Discretionary,Automobiles,Yes (Option Chain)
TT,Trane Technologies plc,155.57,1.38787,$36.05B,1.7227,Ireland,Industrials,Building Products,Yes (Option Chain)
DLR,Digital Realty Trust Inc,125.27,1.55221,$36.00B,3.89559,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
BSMX,Banco Santander Mexico SA,5.31,0.01861,$35.98B,13.54987,Mexico,Financials,Banks,Yes (Option Chain)
HLT,Hilton Worldwide Holdings Inc,131.09,2.20431,$35.96B,0.4577,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
WCN,Waste Connections Inc.,139.64,0.9096,$35.91B,0.65884,Canada,Industrials,Commercial Services & Supplies,Yes (Option Chain)
WELL,Welltower Inc,77.33,2.34965,$35.83B,3.15531,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
SBAC,SBA Communications Corp,330.28,0.62866,$35.63B,0.85988,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
PH,Parker-Hannifin Corp,276.2,0.74678,$35.46B,1.92614,United States of America,Industrials,Machinery,Yes (Option Chain)
ED,Consolidated Edison Inc.,98.53,1.71986,$34.94B,3.20715,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
GPN,GLOBAL PAYMENTS INC,125.13,1.76915,$34.68B,0.79917,United States of America,Information Technology,IT Services,Yes (Option Chain)
KR,Kroger Co. (The),48.38,5.87943,$34.62B,2.14965,United States of America,Consumer Staples,Food & Staples Retailing,Yes (Option Chain)
BNTX,BioNTech SE,142.6,1.13467,$34.61B,,Germany,Health Care,Biotechnology,Yes (Option Chain)
LYG,Lloyds Banking Group PLC,2.02,12.34713,$34.47B,5.16941,United Kingdom,Financials,Banks,Yes (Option Chain)
SPG,Simon Property Group Inc.,104.85,2.04236,$34.32B,6.6762,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
NEM,Newmont Corporation,43.22,7.90006,$34.30B,5.09024,United States of America,Materials,Metals & Mining,Yes (Option Chain)
TDG,TransDigm Group Inc,631.02,0.3176,$34.22B,,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
MFC,Manulife Financial Corp,17.83,4.25248,$33.99B,5.66908,Canada,Financials,Insurance,Yes (Option Chain)
BK,Bank of New York Mellon Corp (The),42.0,4.113,$33.94B,3.52381,United States of America,Financials,Capital Markets,Yes (Option Chain)
CARR,Carrier Global Corp,40.24,4.85942,$33.87B,1.49105,United States of America,Industrials,Building Products,Yes (Option Chain)
ALL,The Allstate Corporation,125.05,1.7744,$33.80B,2.71891,United States of America,Financials,Insurance,Yes (Option Chain)
DDOG,Datadog Inc,106.73,5.39555,$33.77B,,United States of America,Information Technology,Software,Yes (Option Chain)
ALB,Albemarle Corp,288.16,1.35201,$33.75B,0.54831,United States of America,Materials,Chemicals,Yes (Option Chain)
MPLX,MPLX LP,33.25,1.89667,$33.66B,8.4812,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CTSH,Cognizant Technology Solutions Corp,64.7,3.16986,$33.50B,1.66924,United States of America,Information Technology,IT Services,Yes (Option Chain)
NIO,NIO Inc,19.92,57.0619,$33.28B,,China,Consumer Discretionary,Automobiles,Yes (Option Chain)
PEG,Public Service Enterprise Group Inc,66.69,2.74886,$33.27B,3.23887,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
DANOY,Danone SA,10.4,0.78508,$33.25B,3.91618,France,Consumer Staples,Food Products,No
DXCM,DexCom Inc,84.49,3.37386,$33.17B,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
WEC,WEC Energy Group Inc,104.79,1.3655,$33.05B,2.77698,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
ALC,Alcon Inc,66.74,0.8817,$32.81B,0.30781,Switzerland,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
GFS,GLOBALFOUNDRIES Inc,60.65,2.30288,$32.76B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,No
ING,ING Groep NV,8.68,5.62297,$32.49B,16.14215,Netherlands,Financials,Banks,Yes (Option Chain)
HPQ,HP Inc,31.39,9.35288,$32.46B,3.18573,United States of America,Information Technology,"Technology Hardware, Storage & Peripherals",Yes (Option Chain)
VICI,VICI Properties Inc,33.64,13.70149,$32.40B,4.28062,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
RMD,Resmed Inc,221.15,0.57159,$32.38B,0.79584,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
MTB,M&T Bank Corp,184.02,1.12092,$32.32B,2.60841,United States of America,Financials,Banks,Yes (Option Chain)
APO,Apollo Global Management Inc,56.37,2.95729,$32.27B,3.01579,United States of America,Financials,Diversified Financial Services,Yes (Option Chain)
ILMN,Illumina Inc,205.37,1.44602,$32.26B,,United States of America,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
IMO,Imperial Oil Ltd,50.38,0.72591,$32.08B,2.08866,Canada,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
VEEV,Veeva Systems Inc,206.49,1.02384,$31.97B,,United States of America,Health Care,Health Care Technology,Yes (Option Chain)
WBD,Warner Bros. Discovery Inc,13.16,23.89903,$31.95B,,United States of America,Communication Services,Entertainment,No
ODFL,Old Dominion Freight Line Inc,285.65,0.91976,$31.93B,0.42009,United States of America,Industrials,Road & Rail,Yes (Option Chain)
YUM,YUM BRANDS  INC,112.16,1.59207,$31.91B,2.03281,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
IFNNY,Infineon Technologies AG,24.5,0.32994,$31.90B,1.24652,Germany,Information Technology,Semiconductors & Semiconductor Equipment,No
TU,TELUS Corp,23.09,1.51083,$31.88B,4.53847,Canada,Communication Services,Diversified Telecommunication Services,Yes (Option Chain)
OJSCY,Rosneft Oil Company,3.0,,$31.79B,,Russia,Energy,"Oil, Gas & Consumable Fuels",No
ES,Eversource Energy,91.6,1.44761,$31.73B,2.78384,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
STM,STMicroelectronics NV,34.96,3.74801,$31.73B,0.6865,Netherlands,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
CHT,Chunghwa Telecom Co Ltd,40.36,0.15413,$31.62B,3.94228,Taiwan,Communication Services,Diversified Telecommunication Services,Yes (Option Chain)
OTIS,Otis Worldwide Corp,75.23,2.35918,$31.61B,1.54194,United States of America,Industrials,Machinery,Yes (Option Chain)
